label,K,bin,progress,degenerate_fraction
baseline,2,0,0.05,0.0
baseline,2,1,0.15,0.0
baseline,2,2,0.25,0.0
baseline,2,3,0.35,0.0
baseline,2,4,0.45,0.0
baseline,2,5,0.55,0.0
baseline,2,6,0.65,0.0
baseline,2,7,0.75,0.0
baseline,2,8,0.85,0.0
baseline,2,9,0.95,0.0
Dr.GRPO,2,0,0.05,0.0
Dr.GRPO,2,1,0.15,0.0
Dr.GRPO,2,2,0.25,0.0
Dr.GRPO,2,3,0.35,0.0
Dr.GRPO,2,4,0.45,0.0
Dr.GRPO,2,5,0.55,0.0
Dr.GRPO,2,6,0.65,0.0
Dr.GRPO,2,7,0.75,0.0
Dr.GRPO,2,8,0.85,0.0
Dr.GRPO,2,9,0.95,0.0
K=4,4,0,0.05,0.0
K=4,4,1,0.15,0.0
K=4,4,2,0.25,0.0
K=4,4,3,0.35,0.0
K=4,4,4,0.45,0.0
K=4,4,5,0.55,0.0
K=4,4,6,0.65,0.0
K=4,4,7,0.75,0.0
K=4,4,8,0.85,0.0
K=4,4,9,0.95,0.0
