_step,rewards/train/sum,rewards/train/mean,actor/train/kl,completions/train/mean_length,completions/eval/mean_length
64,1,0.25,0,150,230.76604278074868
128,0.5,0.125,0,751.5,230.10695187165774
192,1.5,0.375,0,316.5,240.4331550802139
256,1,0.25,0,457.5,287.36096256684493
320,4.75,1.1875,0,494.5,312.1136363636364
384,4.5,1.125,0,98,276.49064171122996
448,4.5,1.125,0,194,320.0882352941176
512,7.5,1.875,0,181,247.49197860962568
576,5.75,1.4375,0,248.5,214.48930481283423
640,4.75,1.1875,0,131.5,193.46122994652407
704,4.5,1.125,0,125,197.97860962566844
768,4.5,1.125,0,218,286.3836898395722
832,8,2,0,344.5,423.46256684491976
896,5.125,1.28125,0,511,376.24064171122996
960,5.125,1.28125,0,481,340.75267379679144
1024,5.25,1.3125,0,264,372.35026737967917
1088,7.25,1.8125,0,406,372.9385026737968
1152,4.5,1.125,0,359,369.10026737967917
1216,4.5,1.125,0,195,368.2700534759358
1280,-1,-0.25,0,644,327.2847593582888
1344,10,2.5,0,245,315.0668449197861
1408,10,2.5,0,205.5,295.34090909090907
1472,6.75,1.6875,0,242.5,287.8288770053476
1536,10,2.5,0,173.5,271.92379679144386
1600,10,2.5,0,201.5,252.20989304812835
1664,10,2.5,0,167.5,248.774064171123
1728,5.75,1.4375,0,261.5,253.29144385026737
1792,5.75,1.4375,0,373.5,263.37433155080214
1856,6,1.5,0,250.5,263.5307486631016
1920,10,2.5,0,154.5,264.1951871657754
1984,4.5,1.125,0,304.5,263.88770053475935
2048,4.5,1.125,0,293,264.2914438502674
2112,7.25,1.8125,0,264,254.33689839572193
2176,10,2.5,0,293,255.85828877005346
2240,4.5,1.125,0,239,259.8235294117647
2304,4.5,1.125,0,214.5,262.3355614973262
2368,4.5,1.125,0,113.5,263.48262032085563
2432,4.5,1.125,0,176,268.7807486631016
2496,4.5,1.125,0,584.5,261.82754010695186
2560,4.5,1.125,0,170,264.3516042780749
2624,7.25,1.8125,0,331,265.4344919786096
2688,8,2,0,273.5,265.8181818181818
2752,10,2.5,0,119.5,261.9438502673797
2816,4.5,1.125,0,436.5,254.66310160427807
2880,7.875,1.96875,0,303.5,267.6831550802139
2944,4.75,1.1875,0,357,267.9211229946524
3008,4.5,1.125,0,330.5,267.40106951871655
3072,10,2.5,0,287.5,267.3983957219251
3136,8.75,2.1875,0,214,259.0200534759358
3200,10,2.5,0,247,269.58957219251334
3264,4.5,1.125,0,295,262.00401069518716
3328,10,2.5,0,302,264.50401069518716
