_step,rewards/train/sum,rewards/train/mean,actor/train/kl,completions/train/mean_length,completions/eval/mean_length
64,-1.25,-0.3125,-0.0018295884365215898,460.5,243.60828877005346
128,1,0.25,0.03907214477658272,93,229.41844919786095
192,10,2.5,0.04638877138495445,114.5,226.8114973262032
256,2.5,0.625,0.030461447313427925,114.5,236.0842245989305
320,7.25,1.8125,0.05324699729681015,179,271.59090909090907
384,9,2.25,0.1443227082490921,174.5,359.97727272727275
448,-2,-0.5,0.3498059809207916,768,404.66042780748666
512,4.5,1.125,0.056923821568489075,116.5,310.26604278074865
576,9,2.25,0.40102341771125793,175,299.77139037433153
640,10,2.5,0.49093306064605713,293.5,288.04545454545456
704,10,2.5,0.3476136326789856,169.5,332.081550802139
768,10,2.5,0.37833666801452637,163.5,330.9344919786096
832,4.5,1.125,0.3957798480987549,227.5,439.91711229946526
896,4.5,1.125,0.28779006004333496,237,371.403743315508
960,2,0.5,0.4131878912448883,565,300.07754010695186
1024,4.5,1.125,0.5373668074607849,278,340.1564171122995
1088,10,2.5,0.5902031660079956,282,394.5133689839572
1152,10,2.5,0.6120918393135071,302,421.18716577540107
1216,4.75,1.1875,0.47848957777023315,559.5,433.81951871657753
1280,2,0.5,0.414982408285141,519,449.831550802139
1344,10,2.5,0.5197204947471619,338,451.49598930481284
1408,7.25,1.8125,0.47079798579216003,205.5,361.7553475935829
1472,2,0.5,0.5080767273902893,609.5,354.3903743315508
1536,10,2.5,1.2748866081237793,202.5,336.82754010695186
1600,10,2.5,0.5455737709999084,237,334.85427807486633
1664,4.5,1.125,0.4514796733856201,411.5,330.0267379679144
1728,5,1.25,0.638911783695221,327.5,337.0935828877005
1792,-0.5,-0.125,0.6470244526863098,768,354.1403743315508
1856,8,2,0.3614520728588104,208.5,357.96122994652404
1920,5.25,1.3125,0.508172869682312,288,385.3475935828877
1984,2,0.5,0.4210090637207031,365,393.6350267379679
2048,10,2.5,0.6272790431976318,255,386.23930481283423
2112,2,0.5,0.6161877512931824,498.5,382.20454545454544
2176,3.75,0.9375,0.7298386693000793,244.5,364.9812834224599
2240,4.5,1.125,0.5813688039779663,266,368.14973262032083
2304,7.875,1.96875,0.7264283299446106,241.5,371.30213903743316
2368,3,0.75,0.5571462512016296,451.5,384.3435828877005
2432,4.5,1.125,0.46605759859085083,302.5,399.6470588235294
2496,2,0.5,0.7785434126853943,534.5,387.2312834224599
2560,6,1.5,0.8709619045257568,231,384.5802139037433
2624,-0.5,-0.125,0.8213128447532654,768,392.5548128342246
2688,4.5,1.125,0.6783255934715271,184,389.0655080213904
2752,-0.5,-0.125,0.5504493713378906,768,399.33288770053474
2816,-0.5,-0.125,0.7781628966331482,768,399.668449197861
2880,0,0,0.3882865309715271,449,395.67914438502675
2944,2,0.5,1.0380302667617798,465,388.9505347593583
3008,2,0.5,0.527626097202301,579,389.418449197861
3072,7.25,1.8125,1.317968487739563,246.5,388.3917112299465
3136,2,0.5,0.5405235886573792,561,390.2192513368984
3200,8,2,1.1484187841415405,289.5,402.2994652406417
3264,8,2,0.734081506729126,191.5,398.05882352941177
3328,2,0.5,0.47382915019989014,403.5,389.77272727272725
